#,Keyword,Position,Position History,Position History Date,Volume,URL,Difficulty,Traffic (desc),CPC,Last Update,Page URL inside,SERP Features,Website
1,everage,3,3,,26000,https://www.evergage.com/,33,3822,0.02,1/23/2020 2:25,,"Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
2,evergage,1,1,,2200,https://www.evergage.com/,3,701,1.5,1/21/2020 8:54,,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
3,personalization,5,5,,19000,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,49,451,1.6,1/22/2020 12:12,,"Adwords top, Sitelinks, People also ask",evergage.com
4,customer retention measurement,1,1,,400,https://www.evergage.com/blog/how-calculate-customer-retention/,6,136,9,1/16/2020 11:56,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
5,churn rate,8,11,1/20/2020 10:19,6600,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,47,109,12,1/22/2020 20:03,,"Knowledge card, People also ask, Sitelinks, Top stories, Thumbnail",evergage.com
6,everage,3,3,,26000,https://www.evergage.com/leadership/,33,106,0.02,1/23/2020 2:25,Sitelinks,"Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
7,everage,3,3,,26000,https://www.evergage.com/careers/,33,106,0.02,1/23/2020 2:25,Sitelinks,"Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
8,everage,3,3,,26000,https://www.evergage.com/platform/,33,106,0.02,1/23/2020 2:25,Sitelinks,"Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
9,everage,3,3,,26000,https://www.evergage.com/about-us/,33,106,0.02,1/23/2020 2:25,Sitelinks,"Sitelinks, Top stories, Thumbnail, People also ask",evergage.com
10,retention rate,10,10,,11000,https://www.evergage.com/blog/how-calculate-customer-retention/,16,84,4.5,1/21/2020 12:42,,"Featured snippet, Thumbnail, People also ask, Sitelinks",evergage.com
11,my buys,1,2,12/6/2019 17:31,200,https://www.evergage.com/blog/evergage-announces-acquisition-mybuys-magnetic/,2,82,,1/5/2020 23:56,,"Top stories, Thumbnail, Video, Image pack",evergage.com
12,customer segmentation,11,12,1/19/2020 21:29,3900,https://www.evergage.com/blog/what-is-customer-segmentation/,22,63,14,1/22/2020 13:24,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail, Adwords bottom, Knowledge panel",evergage.com
13,churn,16,29,1/20/2020 14:42,20000,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,41,62,0.5,1/22/2020 17:46,,"Knowledge card, People also ask, Sitelinks",evergage.com
14,touchpoint,12,11,1/20/2020 15:58,8500,https://www.evergage.com/blog/six-ways-create-great-first-touchpoint-experience-0/,51,45,0.4,1/22/2020 19:31,,"Adwords top, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
15,megan barry,29,24,1/20/2020 20:29,34000,https://www.evergage.com/blog/author/megan-barry/,1,35,,1/23/2020 6:57,,"Sitelinks, Top stories, Thumbnail",evergage.com
16,customer retention rate,3,3,,600,https://www.evergage.com/blog/how-calculate-customer-retention/,22,34,30,1/19/2020 12:43,,"Adwords top, Featured snippet, Thumbnail, People also ask",evergage.com
17,personalization definition,4,3,1/10/2020 13:49,1700,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,13,33,,1/18/2020 20:47,,"Knowledge card, People also ask",evergage.com
18,customer segments,11,11,,2500,https://www.evergage.com/blog/what-is-customer-segmentation/,26,33,,1/23/2020 6:00,,"People also ask, Top stories, Thumbnail, Adwords bottom",evergage.com
19,engagement score,1,1,,80,https://www.evergage.com/blog/what-customer-engagement-score/,2,31,9,1/20/2020 8:38,Featured snippet,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
20,personalization trend,1,1,,80,https://www.evergage.com/blog/personalization-trends-2019-survey-results/,3,29,6,12/26/2019 16:26,,"People also ask, Knowledge panel",evergage.com
21,recommendation,29,28,1/17/2020 13:06,100000,https://www.evergage.com/platform/recommendations/,28,29,0.15,1/20/2020 7:50,,"Knowledge card, Sitelinks, People also ask, Top stories, Thumbnail",evergage.com
22,pop up message,1,1,,200,https://www.evergage.com/blog/create-effective-pop-message/,11,28,0.6,1/9/2020 16:52,,"People also ask, Top stories, Thumbnail, Knowledge panel",evergage.com
23,notice of filming and photography,1,1,,70,https://www.evergage.com/filming-and-photography-disclosure/,0,26,,1/16/2020 15:12,Featured snippet,"Featured snippet, Thumbnail",evergage.com
24,customer retention rate formula,1,1,,70,https://www.evergage.com/blog/how-calculate-customer-retention/,13,25,,1/12/2020 18:48,,"Image pack, Top stories, Thumbnail",evergage.com
25,boston tech jam,7,7,,500,https://www.evergage.com/events/boston-techjam/,0,22,,1/18/2020 8:48,,"Sitelinks, Top stories, Thumbnail",evergage.com
26,how to measure customer retention,1,1,,60,https://www.evergage.com/blog/how-calculate-customer-retention/,13,22,1.9,1/3/2020 15:02,Featured snippet,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask",evergage.com
27,retention rate formula,5,5,,700,https://www.evergage.com/blog/how-calculate-customer-retention/,12,22,9,1/18/2020 2:37,,"Featured snippet, Thumbnail, Top stories",evergage.com
28,improved customer experience,4,5,12/2/2019 13:23,200,https://www.evergage.com/blog/10-ways-improve-customer-experience-5-minutes/,29,21,30,12/31/2019 14:15,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Image pack, Adwords bottom",evergage.com
29,customer retention formula,1,1,,60,https://www.evergage.com/blog/how-calculate-customer-retention/,18,20,,12/30/2019 22:11,Featured snippet,"Featured snippet, Thumbnail, People also ask, Image pack, Top stories, Adwords bottom, Sitelinks",evergage.com
30,notice of filming,2,2,,150,https://www.evergage.com/filming-and-photography-disclosure/,0,20,,1/15/2020 0:44,,Knowledge panel,evergage.com
31,mybuys,3,1,12/7/2019 13:56,150,https://www.evergage.com/blog/evergage-announces-acquisition-mybuys-magnetic/,4,19,6,1/7/2020 17:36,,Image pack,evergage.com
32,how to calculate churn,4,4,,200,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,19,8,1/22/2020 13:56,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
33,how to calculate retention rate,1,1,,450,https://www.evergage.com/blog/how-calculate-customer-retention/,10,19,2.5,12/26/2019 18:13,Featured snippet,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
34,how to calculate retention rate,6,5,11/28/2019 15:56,450,https://www.evergage.com/blog/how-calculate-customer-retention/,10,19,2.5,12/26/2019 18:13,,"Featured snippet, Thumbnail, People also ask, Top stories, Image pack",evergage.com
35,what is personalization,3,3,,150,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,11,18,,1/2/2020 19:02,,"Knowledge card, People also ask, Sitelinks, Image pack",evergage.com
36,customer retention measurement,7,6,12/16/2019 12:00,400,https://www.evergage.com/blog/how-calculate-customer-retention/,6,18,9,1/16/2020 11:56,,"Adwords top, Sitelinks, Featured snippet, Thumbnail, People also ask, Adwords bottom",evergage.com
37,customer retention rate,1,1,,600,https://www.evergage.com/blog/how-calculate-customer-retention/,22,17,30,1/19/2020 12:43,Featured snippet,"Adwords top, Featured snippet, Thumbnail, People also ask",evergage.com
38,what is personalize,3,3,,150,https://www.evergage.com/blog/personalization-definition-what-is-personalization/,10,16,,12/25/2019 3:42,,"Knowledge card, People also ask, Sitelinks, Image pack",evergage.com
39,message pop up,6,5,12/8/2019 1:38,250,https://www.evergage.com/blog/create-effective-pop-message/,6,16,0.6,1/8/2020 18:25,,"People also ask, Top stories, Thumbnail, Image pack",evergage.com
40,mybuys,4,2,12/7/2019 13:56,150,https://www.evergage.com/blog/press/evergage-acquires-mybuys-unleashing-benefits-next-generation-personalization-platform-retailers-worldwide/,4,16,6,1/7/2020 17:36,,Image pack,evergage.com
41,how to calculate churn rate,5,6,12/5/2019 23:32,250,https://www.evergage.com/blog/how-calculate-customer-churn-and-revenue-churn/,25,15,8,1/4/2020 16:13,,"Featured snippet, Thumbnail, People also ask, Top stories",evergage.com
42,how to calculate customer retention rate,2,2,,90,https://www.evergage.com/blog/how-calculate-customer-retention/,13,14,,1/6/2020 6:14,,"Adwords top, Sitelinks, Featured snippet, Top stories, Thumbnail, Image pack",evergage.com
43,personalize website,6,6,,250,https://www.evergage.com/blog/45-ways-personalize-your-website/,12,14,8,1/14/2020 3:18,,"Adwords top, Sitelinks, Top stories, Thumbnail, People also ask, Adwords bottom",evergage.com
44,evergage,1,1,,2200,https://www.evergage.com/leadership/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
45,evergage,1,1,,2200,https://www.evergage.com/about-us/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
46,evergage,1,1,,2200,https://www.evergage.com/careers/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
47,evergage,1,1,,2200,https://www.evergage.com/why-evergage/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
48,evergage,1,1,,2200,https://www.evergage.com/platform/,3,13,1.5,1/21/2020 8:54,Sitelinks,"Adwords top, Sitelinks, Tweet box, Top stories, Thumbnail",evergage.com
